gene_symbol,rank,average_rank,reversal_score_wilcoxon,reversal_score_cosine,reversal_effect_size,q_value,rpe1_rank,rpe1_covered,depmap_gene_effect,depmap_n_cell_lines,is_essential,tier,tier_label,k562_chronos,tier_note
MCM4,1,27.666666666666668,5.8994819833946295,0.0675575087950428,0.0965772815383932,2.0525843862609758e-05,827.0,True,-1.2792648902680417,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-1.6137108041143713,
DUT,2,29.333333333333332,4.991406908168641,0.0555504537487429,0.1148251403135121,0.00028117357205624706,600.0,True,-1.7460361913575555,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-2.6141968458276796,
SEH1L,3,33.666666666666664,6.17285422946271,0.073647027965203,0.0883961457462804,7.550520307392996e-06,38.0,True,-1.2491359942356328,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.3324186252007604,
ORC5,4,36.333333333333336,5.506674354462812,0.0652881015772938,0.0897937452006302,5.881111377230056e-05,1720.0,True,-0.5239930029378088,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.3533476540630408,
EIF3D,5,41.333333333333336,4.3911150141013255,0.0577161278450834,0.1092038067453455,0.002153059046589252,765.0,True,-1.7117792974189054,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-1.2301781822470836,
PKM,6,41.333333333333336,5.10228059203211,0.0561018093350573,0.0966041243004267,0.00018089263781245136,104.0,True,-0.7496902031298799,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.7109500745349299,
NUP54,7,44.0,5.119401118299021,0.0614745252635339,0.0882722552077801,0.00018089263781245136,550.0,True,-0.736589996946083,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.6017398017936085,
MCM6,8,46.0,5.535537482414112,0.0608363995857602,0.0840154769022792,5.821800151830567e-05,324.0,True,-1.2173419838663488,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-1.234480908798539,
PSMD4,9,56.666666666666664,5.412465515060753,0.0421830745615887,0.112425211996065,7.775879219926827e-05,860.0,True,-1.4754255413287696,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.9823429338239408,
ARIH1,10,57.0,5.21337210238647,0.0533891574217638,0.0837730542037679,0.0001605896522462002,2274.0,True,-1.4000003983943077,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-1.3495143930473463,
UQCRFS1,11,58.666666666666664,5.120360190776055,0.0561882278621249,0.0813735676888652,0.00018089263781245136,1727.0,True,-0.5119890916406172,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.6204168001940449,
RFC5,12,60.666666666666664,5.236418145122727,0.0663581044618597,0.0754671162606768,0.00015359927567998535,1227.0,True,-1.4592576723483428,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-1.690349946114648,
MCM2,13,62.0,4.363761657315599,0.0533283866471538,0.0927525917990973,0.002345102017546969,859.0,True,-1.5840559975993396,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-1.4460906385549992,
MVD,14,66.66666666666667,4.7581583017226645,0.0611773856291757,0.0771363439329351,0.0007091508159305482,214.0,True,-0.4724483472240054,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.7371306783797125,
SIRT7,15,67.0,4.445620852592399,0.0581890271917099,0.0822233215408316,0.001827098264243735,53.0,True,-0.1811869332731682,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.1082988973256498,
STAT5B,16,69.33333333333333,4.733979561233775,0.0605580477458516,0.0761802824745003,0.0007091508159305482,4.0,True,-0.1699058327012453,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.8826621327412407,
ABCB10,17,75.66666666666667,4.337971000794116,0.0545134670637787,0.0824150915957701,0.002416338534770184,429.0,True,0.0509726642791937,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,0.3803713380612197,
SOCS3,18,75.66666666666667,4.188324201552067,0.0463018456034125,0.1025067324922099,0.0033896666759648153,,False,-0.1991387219725661,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.0430931666052112,
PGAM1,19,76.0,5.444093921538112,0.0766999611325181,0.068048150099134,7.327514524977046e-05,331.0,True,,,False,T3_no_fitness_data,No fitness data available for this gene,,
TONSL,20,79.0,4.0268276412055535,0.0524088668834389,0.0976589924879924,0.00509171804345188,337.0,True,-1.7332361510365204,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-1.8234467668125325,
ALDOA,21,79.66666666666667,4.230277583697655,0.0624134778342402,0.0789581173786395,0.003145164894900469,289.0,True,-1.2462790406576574,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.756649915950779,
RBM33,22,84.33333333333333,5.550480379689228,0.0430039245143607,0.080829653220047,5.821800151830567e-05,1628.0,True,-0.2414643945025325,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,0.0546912703641814,
EIF4G2,23,86.0,5.554575517717977,0.0717122253892662,0.0645260078155741,5.821800151830567e-05,854.0,True,-0.6545948958180755,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.7535324279349781,
